activityId,currentSessionStarted,event,event_hashCode,event_hashcode,ext,firstSessionStarted,gameplayId,gameplayId_hashCode,name,progress,response,score,session,stored,success,target,target_hashCode,time,timestamp,type,type_hashCode,uuidv4,versionId
"5dd186a95187cd0095b07ea2","Tue Nov 19 2019 23:14:24 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:11:42.592Z","5dd4689e5187cd0095b07eac",???,"wp2",???,???,???,"1","2019-11-19T22:11:42.824Z",???,"wave","3642105",???,"Tue Nov 19 2019 23:14:24 GMT+0100 (Central European Standard Time)","stage","109757182","115632f8-5bbf-4ee4-bf46-6be1e86f44a6","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:24:03 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,"((x >= (0)) && (y >= (0)))","0","7","2019-11-21T06:21:22.979Z","true","pre","111267",???,"Thu Nov 21 2019 07:24:03 GMT+0100 (Central European Standard Time)","question","-1165870106","4bb5214b-5776-497d-aa0c-14936d0e4854","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:19:00 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,"((x == (0)) && (y == (0)))","1","7","2019-11-21T06:16:19.797Z","false","pre","111267",???,"Thu Nov 21 2019 07:19:00 GMT+0100 (Central European Standard Time)","question","-1165870106","5f72c38c-6d67-440c-8d59-6f532f5d0046","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:19:40 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,"((x >= (0)) && (y >= (0)))","0","7","2019-11-21T06:17:00.389Z","true","pre","111267",???,"Thu Nov 21 2019 07:19:40 GMT+0100 (Central European Standard Time)","question","-1165870106","9bf46708-cbbf-4b7e-abf9-aae97a80c255","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 16:29:22 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:23:13.902Z","5dd6abe15187cd0095b07ec0",???,"aitor",???,"true","1","1","2019-11-21T15:26:42.134Z","false","pre","111267",???,"Thu Nov 21 2019 16:29:22 GMT+0100 (Central European Standard Time)","question","-1165870106","287c241c-5812-4654-857a-92016f635989","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 14:19:39 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,???,"8","2019-11-21T13:16:59.648Z",???,"wave","3642105",???,"Thu Nov 21 2019 14:19:39 GMT+0100 (Central European Standard Time)","stage","109757182","1808a614-c09b-4cd0-b1d5-f291f894a52d","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 14:19:39 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,???,"8","2019-11-21T13:16:59.648Z",???,"wave","3642105",???,"Thu Nov 21 2019 14:19:39 GMT+0100 (Central European Standard Time)","stage","109757182","42913483-091e-41ba-bd45-d3a40d80c6ac","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 14:22:51 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,???,"8","2019-11-21T13:20:11.071Z",???,"wave","3642105",???,"Thu Nov 21 2019 14:22:51 GMT+0100 (Central European Standard Time)","stage","109757182","60f8cc1a-833e-419a-97b4-aa789d80d208","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 14:21:22 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,???,"8","2019-11-21T13:18:42.374Z",???,"wave","3642105",???,"Thu Nov 21 2019 14:21:22 GMT+0100 (Central European Standard Time)","stage","109757182","8ee1d468-37b2-4e4c-a8bd-49a95fc18b64","5c613b4dcf73440078c85032"
"5dd186a95187cd0095b07ea2","Thu Nov 21 2019 07:17:47 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-19T22:12:48.368Z","5dd468e05187cd0095b07eaf",???,"wp3",???,???,???,"7","2019-11-21T06:15:07.633Z",???,"wave","3642105",???,"Thu Nov 21 2019 07:17:47 GMT+0100 (Central European Standard Time)","stage","109757182","76bfa9cb-1aaf-400d-9d4e-996059c9df73","5c613b4dcf73440078c85032"
